지역키,sido_name,sigungu_name,region_code,demand_value,total_population,elderly_population,elderly_single_households,current_resource,aging_rate,elderly_single_household_index,service,resource_type,demand_scenario,current_supply_rate,target_scenario,target_supply_rate,target_resource,continuous_gap,integer_need,provider_missing,eligible_for_allocation,allocation_cap,vulnerability_score
경상남도|창녕군,경상남도,창녕군,48740,3504.0,54445,22415,9213,1.0,41.16998806134632,41.10194066473344,visit_nursing,institution,ltci_midpoint,0.28538812785388123,county_median,0.4134130418495324,1.4485992986407616,0.44859929864076165,1,False,True,2,0.7587717285224828
경상남도|고성군,경상남도,고성군,48820,2806.5,46808,18942,7481,0.0,40.467441462997776,39.49424559180657,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,1.1602437019507126,1.1602437019507126,2,True,True,2,0.45189560118179994
경상남도|남해군,경상남도,남해군,48840,3037.0,41143,18171,6564,0.0,44.16547164766789,36.12349347861978,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,1.25553540809703,1.25553540809703,2,True,True,2,0.21153927855808963
경상남도|하동군,경상남도,하동군,48850,3168.5,39596,17739,7003,4.0,44.79997979593898,39.47798635774283,visit_nursing,institution,ltci_midpoint,1.262427015938141,county_median,0.4134130418495324,1.3098992231002435,0.0,0,False,False,2,0.7870426945327347
경상남도|산청군,경상남도,산청군,48860,2599.0,32638,15044,6314,2.0,46.093510631778905,41.97022068598777,visit_nursing,institution,ltci_midpoint,0.7695267410542517,county_median,0.4134130418495324,1.0744604957669348,0.0,0,False,False,2,1.2786949642985335
경상남도|함양군,경상남도,함양군,48870,2274.0,35141,14871,6012,0.0,42.31808998036482,40.427678031067174,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.9401012571658367,0.9401012571658367,1,True,True,2,0.7425228094989436
경상남도|거창군,경상남도,거창군,48880,3058.5,58846,20343,7663,3.0,34.56989430037726,37.66897704370054,visit_nursing,institution,ltci_midpoint,0.980872976949485,county_median,0.4134130418495324,1.264423788496795,0.0,0,False,False,2,-0.29402100307493373
경상남도|합천군,경상남도,합천군,48890,2398.0,38854,18921,8049,0.0,48.69768878365162,42.54003488187728,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.9913644743551788,0.9913644743551788,1,True,True,2,1.5710334156585803
강원특별자치도|홍천군,강원특별자치도,홍천군,51720,2163.5,65849,24363,8014,0.0,36.998283952679614,32.89414275746008,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.8944191160414634,0.8944191160414634,1,True,True,2,-0.8535249127219697
강원특별자치도|횡성군,강원특별자치도,횡성군,51730,1679.0,45575,18436,5901,3.0,40.45200219418541,32.008027771750925,visit_nursing,institution,ltci_midpoint,1.7867778439547348,county_median,0.4134130418495324,0.694120497265365,0.0,0,False,False,2,-0.7232864902659932
강원특별자치도|영월군,강원특별자치도,영월군,51750,1378.0,35714,14054,5502,1.0,39.3515148121185,39.14899672691049,visit_nursing,institution,ltci_midpoint,0.7256894049346879,county_median,0.4134130418495324,0.5696831716686557,0.0,0,False,False,2,0.3107739676569163
강원특별자치도|평창군,강원특별자치도,평창군,51760,1182.5,39897,15356,5414,2.0,38.489109456851395,35.256577233654596,visit_nursing,institution,ltci_midpoint,1.6913319238900633,county_median,0.4134130418495324,0.4888609219870721,0.0,0,False,False,2,-0.36684967964638276
강원특별자치도|정선군,강원특별자치도,정선군,51770,1063.0,35128,12956,4985,0.0,36.882259166476885,38.47638159925903,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.439458063486053,0.439458063486053,1,True,True,2,0.012830857190139072
강원특별자치도|철원군,강원특별자치도,철원군,51780,1157.5,39711,12246,4022,0.0,30.837803127596885,32.843377429364686,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.47852559594083377,0.47852559594083377,1,True,True,2,-1.341660481196371
강원특별자치도|화천군,강원특별자치도,화천군,51790,574.5,22579,6942,2460,1.0,30.745382877895388,35.43647363872083,visit_nursing,institution,ltci_midpoint,1.7406440382941688,county_median,0.4134130418495324,0.23750579254255638,0.0,0,False,False,2,-0.942218229706963
강원특별자치도|양구군,강원특별자치도,양구군,51800,555.0,20372,5891,1993,0.0,28.91714117416061,33.8312680359871,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.2294442382264905,0.2294442382264905,1,True,True,2,-1.3364455246857456
강원특별자치도|인제군,강원특별자치도,인제군,51810,611.0,30771,8679,3008,1.0,28.205128205128204,34.65837078004378,visit_nursing,institution,ltci_midpoint,1.6366612111292964,county_median,0.4134130418495324,0.2525953685700643,0.0,0,False,False,2,-1.2622377577476962
강원특별자치도|고성군,강원특별자치도,고성군,51820,838.0,27204,9753,3771,0.0,35.85134539038376,38.66502614580129,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.3464401290699082,0.3464401290699082,1,True,True,2,-0.037940051567619426
강원특별자치도|양양군,강원특별자치도,양양군,51830,1012.0,27326,10299,3708,0.0,37.68938007758179,36.003495484998545,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.41837399835172684,0.41837399835172684,1,True,True,2,-0.31205333562650783
전북특별자치도|완주군,전북특별자치도,완주군,52710,3941.0,100102,27560,9016,4.0,27.53191744420691,32.71407837445574,visit_nursing,institution,ltci_midpoint,1.0149708195889369,county_median,0.4134130418495324,1.6292607979290075,0.0,0,False,False,2,-1.6196120670779623
전북특별자치도|진안군,전북특별자치도,진안군,52720,1338.5,24689,10514,4020,1.0,42.58576694074284,38.23473463952825,visit_nursing,institution,ltci_midpoint,0.7471049682480388,county_median,0.4134130418495324,0.5533533565155991,0.0,0,False,False,2,0.4194922576761587
전북특별자치도|무주군,전북특별자치도,무주군,52730,1095.0,23326,9356,3691,0.0,40.10974877818743,39.45061992304403,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.452687280825238,0.452687280825238,1,True,True,2,0.41717416146864095
