지역키,sido_name,sigungu_name,region_code,demand_value,current_resource,total_population,elderly_population,elderly_single_households,aging_rate,elderly_single_household_index,service,resource_type,demand_scenario,current_supply_rate,target_scenario,target_supply_rate,target_resource,continuous_gap,integer_need,provider_missing,eligible_for_allocation,allocation_cap,vulnerability_score
전라남도|고흥군,전라남도,고흥군,46770,3853.5,45.0,58976,28413,11626,48.17722463374932,40.9178896983775,visit_care,institution,ltci_midpoint,11.677695601401323,county_median,11.909217437998507,45.89216939732725,0.8921693973272511,1,False,True,2,1.276083537693859
전라남도|보성군,전라남도,보성군,46780,2159.5,29.0,37559,16869,7049,44.913336350808066,41.7867093485091,visit_care,institution,ltci_midpoint,13.429034498726558,county_median,11.909217437998507,25.717955057357777,0.0,0,False,False,2,1.1579290547954109
전라남도|화순군,전라남도,화순군,46790,2868.0,50.0,59909,19853,7960,33.13859353352584,40.094696015715506,visit_care,institution,ltci_midpoint,17.433751743375176,county_median,11.909217437998507,34.155635612179715,0.0,0,False,False,2,-0.025184786010808924
전라남도|장흥군,전라남도,장흥군,46800,2456.5,29.0,33952,13971,5826,41.149269557021675,41.700665664590936,visit_care,institution,ltci_midpoint,11.805414207205374,county_median,11.909217437998507,29.25499263644333,0.2549926364433297,1,False,True,2,0.8510480938084749
전라남도|강진군,전라남도,강진군,46810,2094.0,20.0,31666,13064,5353,41.25560538116592,40.97519902020821,visit_care,institution,ltci_midpoint,9.551098376313277,county_median,11.909217437998507,24.937901315168872,4.937901315168872,5,False,True,2,0.7455696585330088
전라남도|해남군,전라남도,해남군,46820,3274.0,42.0,62027,24626,9400,39.702065229658054,38.171038739543576,visit_care,institution,ltci_midpoint,12.828344532681736,county_median,11.909217437998507,38.99077789200712,0.0,0,False,False,2,0.18473532245445495
전라남도|영암군,전라남도,영암군,46830,2349.5,29.0,50076,16430,6607,32.810128604521125,40.213024954351795,visit_care,institution,ltci_midpoint,12.343051713130453,county_median,11.909217437998507,27.980706370577494,0.0,0,False,False,2,-0.03223058216610941
전라남도|무안군,전라남도,무안군,46840,2945.0,38.0,95659,20837,7613,21.78258187938406,36.5359696693382,visit_care,institution,ltci_midpoint,12.903225806451612,county_median,11.909217437998507,35.0726453549056,0.0,0,False,False,2,-1.468396345866459
전라남도|함평군,전라남도,함평군,46860,2148.0,27.0,29601,12736,5471,43.02557346035607,42.95697236180904,visit_care,institution,ltci_midpoint,12.569832402234638,county_median,11.909217437998507,25.580999056820794,0.0,0,False,False,2,1.1943077045164685
전라남도|영광군,전라남도,영광군,46870,2678.5,35.0,53902,17674,6755,32.78913583911543,38.21998415751952,visit_care,institution,ltci_midpoint,13.06701512040321,county_median,11.909217437998507,31.898838907679,0.0,0,False,False,2,-0.34641284737767386
전라남도|장성군,전라남도,장성군,46880,2492.5,27.0,43095,15429,5869,35.80229725026105,38.03875818264307,visit_care,institution,ltci_midpoint,10.832497492477431,county_median,11.909217437998507,29.683724464211277,2.683724464211277,3,False,True,2,-0.13997358271849286
전라남도|완도군,전라남도,완도군,46890,2575.0,38.0,44175,17538,6739,39.70118845500849,38.42513399475425,visit_care,institution,ltci_midpoint,14.757281553398059,county_median,11.909217437998507,30.666234902846153,0.0,0,False,False,2,0.22451386165184795
전라남도|진도군,전라남도,진도군,46900,1511.5,22.0,27882,11249,4772,40.34502546445736,42.421548582096186,visit_care,institution,ltci_midpoint,14.555077737347005,county_median,11.909217437998507,18.000782157534744,0.0,0,False,False,2,0.9014097151691349
전라남도|신안군,전라남도,신안군,46910,1939.5,22.0,42319,16501,5513,38.991942153642576,33.4100963577965,visit_care,institution,ltci_midpoint,11.34312967259603,county_median,11.909217437998507,23.097927220998102,1.097927220998102,2,False,True,2,-0.6172193832502889
경상북도|의성군,경상북도,의성군,47730,3596.5,42.0,47952,24027,9445,50.10635635635635,39.30994298081325,visit_care,institution,ltci_midpoint,11.67802029751147,county_median,11.909217437998507,42.83150051576163,0.8315005157616326,1,False,True,2,1.1742923799361131
경상북도|청송군,경상북도,청송군,47750,1085.5,8.0,24020,10843,3986,45.14154870940882,36.761043991515265,visit_care,institution,ltci_midpoint,7.369875633348688,county_median,11.909217437998507,12.927455528947378,4.9274555289473785,5,False,True,2,0.38759878238235385
경상북도|영양군,경상북도,영양군,47760,754.0,9.0,15972,7035,2596,44.045830202854994,36.901208244491826,visit_care,institution,ltci_midpoint,11.936339522546419,county_median,11.909217437998507,8.979549948250876,0.0,0,False,False,2,0.3241740966846919
경상북도|영덕군,경상북도,영덕군,47770,2183.0,26.0,32560,14945,6213,45.89987714987715,41.572432251589156,visit_care,institution,ltci_midpoint,11.910215300045808,county_median,11.909217437998507,25.99782166715074,0.0,0,False,False,2,1.201221678763409
경상북도|청도군,경상북도,청도군,47820,2719.5,42.0,40021,19045,7497,47.58751655380925,39.36466264111315,visit_care,institution,ltci_midpoint,15.444015444015445,county_median,11.909217437998507,32.38711682263694,0.0,0,False,False,2,0.986544135823392
경상북도|고령군,경상북도,고령군,47830,1334.0,20.0,29545,12167,5151,41.18124894229142,42.33582641571464,visit_care,institution,ltci_midpoint,14.992503748125937,county_median,11.909217437998507,15.886896062290008,0.0,0,False,False,2,0.953145767253421
경상북도|성주군,경상북도,성주군,47840,2043.0,19.0,40461,17243,6602,42.616346605373074,38.288000927912776,visit_care,institution,ltci_midpoint,9.30004894762604,county_median,11.909217437998507,24.33053122583095,5.330531225830949,6,False,True,2,0.43022891773836147
경상북도|칠곡군,경상북도,칠곡군,47850,3196.0,49.0,103537,23770,8446,22.957976375595198,35.53218342448464,visit_care,institution,ltci_midpoint,15.331664580725906,county_median,11.909217437998507,38.061858931843226,0.0,0,False,False,2,-1.5341934158905277
경상북도|예천군,경상북도,예천군,47900,2676.5,38.0,53422,18847,6875,35.279472876343085,36.4779540510426,visit_care,institution,ltci_midpoint,14.19764617971231,county_median,11.909217437998507,31.875020472803005,0.0,0,False,False,2,-0.42548800489225674
경상북도|봉화군,경상북도,봉화군,47920,1176.5,10.0,28122,13123,4923,46.664533105753506,37.51428789148823,visit_care,institution,ltci_midpoint,8.499787505312366,county_median,11.909217437998507,14.011194315805243,4.011194315805243,5,False,True,2,0.6244295004927404
경상북도|울진군,경상북도,울진군,47930,2376.5,21.0,46195,15934,6622,34.49291048814806,41.5589305886783,visit_care,institution,ltci_midpoint,8.836524300441827,county_median,11.909217437998507,28.30225524140345,7.302255241403451,8,False,True,2,0.3099958680114145
경상북도|울릉군,경상북도,울릉군,47940,137.5,3.0,8768,2900,1202,33.074817518248175,41.44827586206897,visit_care,institution,ltci_midpoint,21.81818181818182,county_median,11.909217437998507,1.6375173977247945,0.0,0,False,False,2,0.18211081960031728
경상남도|의령군,경상남도,의령군,48720,1658.5,25.0,24531,11216,5012,45.7217398393869,44.686162624821684,visit_care,institution,ltci_midpoint,15.073861923424783,county_median,11.909217437998507,19.751437120920524,0.0,0,False,False,2,1.6756279252139599
