장기요양기관코드,장기요양기관이름,우편번호,시도코드,시군구코드,법정동코드,시도 시군구 법정동명,지정일자,설치신고일자
11126000530,효마을 중랑요양원,02180,11,260,105,서울특별시 중랑구 망우동,2023-05-01,2023-05-01
11126000539,다애요양원,02136,11,260,102,서울특별시 중랑구 상봉동,2023-08-01,2023-08-01
11126000554,사랑과섬김요양원,02006,11,260,104,서울특별시 중랑구 묵동,2024-01-01,2024-01-01
11126000567,굿데이요양원,02173,11,260,105,서울특별시 중랑구 망우동,2024-04-01,2024-04-01
11126000568,금강요양원,02136,11,260,102,서울특별시 중랑구 상봉동,2024-04-01,2024-04-01
11129000018,일광노인요양센터,02863,11,290,113,서울특별시 성북구 삼선동3가,2008-06-25,2008-03-17
11129000020,순애노인전문요양원,10265,41,281,118,경기도 고양시 덕양구 관산동,2008-06-25,1999-03-24
11129000078,진각노인요양센터,02748,11,290,136,서울특별시 성북구 하월곡동,2009-09-18,2009-09-18
11129000100,길음안나의집 노인전문요양원,02721,11,290,134,서울특별시 성북구 길음동,2010-02-08,2010-02-08
11129000104,부모섬김노인요양원,02741,11,290,136,서울특별시 성북구 하월곡동,2010-03-01,2010-03-01
11129000115,케어윌,02859,11,290,129,서울특별시 성북구 보문동7가,2010-07-21,2010-07-21
11129000139,명성노인복지센터,02718,11,290,133,서울특별시 성북구 정릉동,2012-02-03,2012-02-03
11129000149,성신노인요양원,02830,11,290,110,서울특별시 성북구 동소문동7가,2012-09-21,2012-09-21
11129000169,청화요양원,02716,11,290,133,서울특별시 성북구 정릉동,2014-01-09,2014-01-09
11129000170,보문요양원,02850,11,290,121,서울특별시 성북구 안암동1가,2014-01-27,2014-01-27
11129000192,유민복지센터,02745,11,290,138,서울특별시 성북구 장위동,2015-01-01,2015-01-01
11129000215,종암요양원,02810,11,290,135,서울특별시 성북구 종암동,2016-03-11,2016-03-11
11129000216,둥지요양원,02738,11,290,136,서울특별시 성북구 하월곡동,2016-04-28,2016-04-28
