행정기관코드,기준연월,시도명,시군구명,읍면동명,총인구,65세이상인구,75세이상인구,85세이상인구,65세이상남자,65세이상여자,고령화율
5221039000,2026-06-30,전북특별자치도,김제시,청하면,1625,841,440,157,369,472,51.75384615384615
5221040000,2026-06-30,전북특별자치도,김제시,성덕면,1674,846,452,158,383,463,50.53763440860215
5221041000,2026-06-30,전북특별자치도,김제시,진봉면,2380,1329,740,255,540,789,55.840336134453786
5221042000,2026-06-30,전북특별자치도,김제시,금구면,5871,2097,968,276,951,1146,35.71793561573838
5221043000,2026-06-30,전북특별자치도,김제시,봉남면,2064,1099,601,228,452,647,53.246124031007746
5221044000,2026-06-30,전북특별자치도,김제시,황산면,1837,889,476,178,396,493,48.39412084921067
5221045000,2026-06-30,전북특별자치도,김제시,금산면,4352,2048,1030,355,877,1171,47.05882352941176
5221046000,2026-06-30,전북특별자치도,김제시,광활면,1220,602,335,104,256,346,49.34426229508197
5221051000,2026-06-30,전북특별자치도,김제시,요촌동,10824,3116,1431,417,1386,1730,28.78787878787879
5221052000,2026-06-30,전북특별자치도,김제시,신풍동,12269,3443,1638,537,1433,2010,28.062596788654332
5221054000,2026-06-30,전북특별자치도,김제시,검산동,11949,2796,1237,363,1161,1635,23.39944765252322
5221058000,2026-06-30,전북특별자치도,김제시,교월동,6339,2180,1064,342,935,1245,34.39028237892412
5271025000,2026-06-30,전북특별자치도,완주군,삼례읍,22332,4889,2150,663,2208,2681,21.892351782195952
5271025300,2026-06-30,전북특별자치도,완주군,봉동읍,24085,4888,2049,571,2252,2636,20.29478928793855
