법정동_시군구코드,기준연월,시도명,시군구명,65세이상1인세대,65세이상남자1인세대,65세이상여자1인세대
41390,2026-06-30,경기도,시흥시,21444,8784,12660
41410,2026-06-30,경기도,군포시,13614,4418,9196
41430,2026-06-30,경기도,의왕시,6390,1958,4432
41450,2026-06-30,경기도,하남시,12738,4787,7951
41461,2026-06-30,경기도,용인시 처인구,14209,5709,8500
41463,2026-06-30,경기도,용인시 기흥구,15399,4564,10835
41465,2026-06-30,경기도,용인시 수지구,9353,2418,6935
41480,2026-06-30,경기도,파주시,26366,9932,16434
41500,2026-06-30,경기도,이천시,12181,4917,7264
41550,2026-06-30,경기도,안성시,13707,5276,8431
41570,2026-06-30,경기도,김포시,21093,7974,13119
41591,2026-06-30,경기도,화성시 만세구,13581,6467,7114
41593,2026-06-30,경기도,화성시 효행구,7181,3113,4068
41595,2026-06-30,경기도,화성시 병점구,4927,1667,3260
41597,2026-06-30,경기도,화성시 동탄구,5630,1706,3924
41610,2026-06-30,경기도,광주시,18574,7686,10888
41630,2026-06-30,경기도,양주시,16680,6600,10080
41650,2026-06-30,경기도,포천시,14562,6646,7916
41670,2026-06-30,경기도,여주시,10180,4328,5852
41800,2026-06-30,경기도,연천군,5073,2159,2914
41820,2026-06-30,경기도,가평군,7681,3343,4338
41830,2026-06-30,경기도,양평군,13464,5833,7631
43111,2026-06-30,충청북도,청주시 상당구,12787,4532,8255
43112,2026-06-30,충청북도,청주시 서원구,12277,4101,8176
43113,2026-06-30,충청북도,청주시 흥덕구,12084,4141,7943
43114,2026-06-30,충청북도,청주시 청원구,10346,3575,6771
43130,2026-06-30,충청북도,충주시,17685,6364,11321
43150,2026-06-30,충청북도,제천시,13017,4740,8277
43720,2026-06-30,충청북도,보은군,4769,1803,2966
43730,2026-06-30,충청북도,옥천군,6548,2572,3976
43740,2026-06-30,충청북도,영동군,6398,2466,3932
43745,2026-06-30,충청북도,증평군,3173,1237,1936
43750,2026-06-30,충청북도,진천군,5943,2393,3550
43760,2026-06-30,충청북도,괴산군,5875,2547,3328
43770,2026-06-30,충청북도,음성군,9003,3911,5092
43800,2026-06-30,충청북도,단양군,4144,1656,2488
44131,2026-06-30,충청남도,천안시 동남구,16151,6159,9992
44133,2026-06-30,충청남도,천안시 서북구,14705,5447,9258
44150,2026-06-30,충청남도,공주시,10962,4129,6833
44180,2026-06-30,충청남도,보령시,10884,3890,6994
44200,2026-06-30,충청남도,아산시,18666,7243,11423
44210,2026-06-30,충청남도,서산시,12444,4719,7725
44230,2026-06-30,충청남도,논산시,13123,4676,8447
44250,2026-06-30,충청남도,계룡시,2137,695,1442
44270,2026-06-30,충청남도,당진시,12923,5481,7442
44710,2026-06-30,충청남도,금산군,6934,2687,4247
44760,2026-06-30,충청남도,부여군,8850,3080,5770
44770,2026-06-30,충청남도,서천군,7437,2573,4864
44790,2026-06-30,충청남도,청양군,4309,1652,2657
44800,2026-06-30,충청남도,홍성군,9328,3317,6011
44810,2026-06-30,충청남도,예산군,9243,3335,5908
44825,2026-06-30,충청남도,태안군,8296,3138,5158
46110,2026-06-30,전라남도,목포시,18153,6205,11948
46130,2026-06-30,전라남도,여수시,21795,7556,14239
46150,2026-06-30,전라남도,순천시,19036,6373,12663
46170,2026-06-30,전라남도,나주시,11896,4398,7498
46230,2026-06-30,전라남도,광양시,9357,3615,5742
46710,2026-06-30,전라남도,담양군,5979,2196,3783
46720,2026-06-30,전라남도,곡성군,4598,1604,2994
46730,2026-06-30,전라남도,구례군,3929,1335,2594
46770,2026-06-30,전라남도,고흥군,11626,3796,7830
46780,2026-06-30,전라남도,보성군,7049,2314,4735
46790,2026-06-30,전라남도,화순군,7960,2912,5048
46800,2026-06-30,전라남도,장흥군,5826,1822,4004
46810,2026-06-30,전라남도,강진군,5353,1705,3648
46820,2026-06-30,전라남도,해남군,9400,3110,6290
46830,2026-06-30,전라남도,영암군,6607,2375,4232
46840,2026-06-30,전라남도,무안군,7613,2702,4911
46860,2026-06-30,전라남도,함평군,5471,1939,3532
46870,2026-06-30,전라남도,영광군,6755,2260,4495
46880,2026-06-30,전라남도,장성군,5869,2249,3620
46890,2026-06-30,전라남도,완도군,6739,2141,4598
46900,2026-06-30,전라남도,진도군,4772,1561,3211
46910,2026-06-30,전라남도,신안군,5513,2129,3384
47111,2026-06-30,경상북도,포항시 남구,17714,6452,11262
47113,2026-06-30,경상북도,포항시 북구,20430,6631,13799
47130,2026-06-30,경상북도,경주시,25247,8829,16418
47150,2026-06-30,경상북도,김천시,13629,4623,9006
47170,2026-06-30,경상북도,안동시,16561,5548,11013
47190,2026-06-30,경상북도,구미시,18095,6340,11755
47210,2026-06-30,경상북도,영주시,11569,3727,7842
47230,2026-06-30,경상북도,영천시,13744,5346,8398
47250,2026-06-30,경상북도,상주시,12767,4144,8623
47280,2026-06-30,경상북도,문경시,9526,3132,6394
47290,2026-06-30,경상북도,경산시,18602,6372,12230
47730,2026-06-30,경상북도,의성군,9445,3360,6085
47750,2026-06-30,경상북도,청송군,3986,1363,2623
47760,2026-06-30,경상북도,영양군,2596,865,1731
47770,2026-06-30,경상북도,영덕군,6213,1905,4308
47820,2026-06-30,경상북도,청도군,7497,2925,4572
47830,2026-06-30,경상북도,고령군,5151,2092,3059
47840,2026-06-30,경상북도,성주군,6602,2857,3745
47850,2026-06-30,경상북도,칠곡군,8446,3333,5113
47900,2026-06-30,경상북도,예천군,6875,2405,4470
47920,2026-06-30,경상북도,봉화군,4923,1892,3031
47930,2026-06-30,경상북도,울진군,6622,2228,4394
47940,2026-06-30,경상북도,울릉군,1202,527,675
48121,2026-06-30,경상남도,창원시 의창구,12528,4630,7898
48123,2026-06-30,경상남도,창원시 성산구,8135,2742,5393
48125,2026-06-30,경상남도,창원시 마산합포구,16422,5529,10893
48127,2026-06-30,경상남도,창원시 마산회원구,14114,4675,9439
48129,2026-06-30,경상남도,창원시 진해구,11239,3843,7396
48170,2026-06-30,경상남도,진주시,25086,7887,17199
48220,2026-06-30,경상남도,통영시,11593,4203,7390
48240,2026-06-30,경상남도,사천시,11282,3765,7517
48250,2026-06-30,경상남도,김해시,27323,9969,17354
48270,2026-06-30,경상남도,밀양시,14003,4977,9026
48310,2026-06-30,경상남도,거제시,12066,4730,7336
