장기요양기관코드,기관유형코드,기관유형명,정원,현원
11123000347,A04,노인요양공동생활가정,9,9
11123000371,A04,노인요양공동생활가정,9,9
11123000373,A04,노인요양공동생활가정,9,9
11123000375,A04,노인요양공동생활가정,9,9
11123000376,A04,노인요양공동생활가정,9,5
11123000377,A04,노인요양공동생활가정,9,9
11123000381,A03,노인요양시설(개정법),77,75
11123000383,A03,노인요양시설(개정법),47,44
11123000387,A03,노인요양시설(개정법),25,15
11126000001,A02,노인전문요양시설,9,8
11126000001,A01,노인요양시설,9,9
11126000010,A02,노인전문요양시설,165,164
11126000010,A03,노인요양시설(개정법),165,159
11126000011,A01,노인요양시설,,234
11126000011,A03,노인요양시설(개정법),200,179
11126000035,A04,노인요양공동생활가정,9,9
11126000036,A04,노인요양공동생활가정,9,9
11126000062,A04,노인요양공동생활가정,9,9
11126000065,A04,노인요양공동생활가정,9,9
11126000072,A04,노인요양공동생활가정,9,6
11126000073,A04,노인요양공동생활가정,9,8
11126000074,A04,노인요양공동생활가정,9,9
11126000082,A04,노인요양공동생활가정,9,7
11126000095,A04,노인요양공동생활가정,9,9
11126000109,A05,노인요양시설(단기보호 전환),23,23
11126000109,A04,노인요양공동생활가정,9,9
11126000110,A05,노인요양시설(단기보호 전환),29,29
11126000111,A03,노인요양시설(개정법),87,87
11126000111,A05,노인요양시설(단기보호 전환),,17
11126000112,A05,노인요양시설(단기보호 전환),20,20
11126000112,A04,노인요양공동생활가정,9,6
11126000113,A05,노인요양시설(단기보호 전환),47,46
11126000113,A04,노인요양공동생활가정,9,8
11126000114,A04,노인요양공동생활가정,,0
11126000114,A03,노인요양시설(개정법),25,25
11126000114,A05,노인요양시설(단기보호 전환),31,30
11126000115,A04,노인요양공동생활가정,,9
11126000115,A05,노인요양시설(단기보호 전환),33,33
11126000116,A05,노인요양시설(단기보호 전환),20,26
11126000116,A04,노인요양공동생활가정,9,8
11126000117,A04,노인요양공동생활가정,,3
11126000117,A05,노인요양시설(단기보호 전환),,4
11126000118,A04,노인요양공동생활가정,9,8
11126000118,A05,노인요양시설(단기보호 전환),9,9
11126000119,A04,노인요양공동생활가정,9,9
11126000126,A03,노인요양시설(개정법),23,23
11126000127,A04,노인요양공동생활가정,9,8
11126000137,A04,노인요양공동생활가정,9,7
11126000151,A04,노인요양공동생활가정,9,0
11126000152,A04,노인요양공동생활가정,9,0
11126000156,A04,노인요양공동생활가정,9,9
11126000161,A04,노인요양공동생활가정,9,8
11126000162,A03,노인요양시설(개정법),36,36
11126000162,A04,노인요양공동생활가정,7,7
11126000163,A04,노인요양공동생활가정,9,9
11126000164,A04,노인요양공동생활가정,9,8
11126000168,A04,노인요양공동생활가정,9,9
11126000171,A04,노인요양공동생활가정,9,0
11126000181,A04,노인요양공동생활가정,9,7
11126000181,A05,노인요양시설(단기보호 전환),29,25
11126000187,A04,노인요양공동생활가정,9,9
11126000191,A04,노인요양공동생활가정,9,9
11126000194,A04,노인요양공동생활가정,9,9
11126000200,A04,노인요양공동생활가정,,10
11126000203,A04,노인요양공동생활가정,9,7
11126000208,A04,노인요양공동생활가정,9,9
11126000209,A04,노인요양공동생활가정,9,9
11126000210,A04,노인요양공동생활가정,,8
11126000217,A04,노인요양공동생활가정,9,9
11126000218,A04,노인요양공동생활가정,9,8
11126000220,A04,노인요양공동생활가정,9,9
11126000222,A04,노인요양공동생활가정,9,9
11126000224,A04,노인요양공동생활가정,,9
11126000225,A04,노인요양공동생활가정,9,9
11126000228,A04,노인요양공동생활가정,,0
11126000229,A04,노인요양공동생활가정,,0
11126000230,A04,노인요양공동생활가정,9,9
11126000231,A04,노인요양공동생활가정,9,9
11126000232,A04,노인요양공동생활가정,9,7
11126000234,A04,노인요양공동생활가정,9,9
11126000240,A04,노인요양공동생활가정,9,9
11126000242,A04,노인요양공동생활가정,9,9
11126000249,A04,노인요양공동생활가정,9,8
11126000253,A04,노인요양공동생활가정,9,6
11126000254,A04,노인요양공동생활가정,9,9
11126000255,A04,노인요양공동생활가정,9,8
11126000264,A04,노인요양공동생활가정,,9
11126000266,A04,노인요양공동생활가정,9,6
11126000271,G31,치매전담실가형1실,16,16
