run_id,region_code,sido_name,sigungu_name,service,resource_type,strategy,demand_value,baseline_resource,allocated_resource,after_resource,current_supply_rate,after_supply_rate,continuous_gap,after_gap,integer_need,after_integer_need,provider_missing,after_provider_missing,allocation_order,allocation_reason
20260727T063718Z_visit_care_institution_shortage_priority,46730,전라남도,구례군,visit_care,institution,shortage_priority,1776.0,16.0,0,16.0,9.00900900900901,9.00900900900901,5.150770169885348,5.150770169885348,6,6,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46770,전라남도,고흥군,visit_care,institution,shortage_priority,3853.5,45.0,0,45.0,11.677695601401323,11.677695601401323,0.8921693973272511,0.8921693973272511,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46780,전라남도,보성군,visit_care,institution,shortage_priority,2159.5,29.0,0,29.0,13.429034498726558,13.429034498726558,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46790,전라남도,화순군,visit_care,institution,shortage_priority,2868.0,50.0,0,50.0,17.433751743375176,17.433751743375176,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46800,전라남도,장흥군,visit_care,institution,shortage_priority,2456.5,29.0,0,29.0,11.805414207205374,11.805414207205374,0.2549926364433297,0.2549926364433297,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46810,전라남도,강진군,visit_care,institution,shortage_priority,2094.0,20.0,0,20.0,9.551098376313277,9.551098376313277,4.937901315168872,4.937901315168872,5,5,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46820,전라남도,해남군,visit_care,institution,shortage_priority,3274.0,42.0,0,42.0,12.828344532681736,12.828344532681736,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46830,전라남도,영암군,visit_care,institution,shortage_priority,2349.5,29.0,0,29.0,12.343051713130453,12.343051713130453,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46840,전라남도,무안군,visit_care,institution,shortage_priority,2945.0,38.0,0,38.0,12.903225806451612,12.903225806451612,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46860,전라남도,함평군,visit_care,institution,shortage_priority,2148.0,27.0,0,27.0,12.569832402234638,12.569832402234638,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46870,전라남도,영광군,visit_care,institution,shortage_priority,2678.5,35.0,0,35.0,13.06701512040321,13.06701512040321,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46880,전라남도,장성군,visit_care,institution,shortage_priority,2492.5,27.0,0,27.0,10.832497492477431,10.832497492477431,2.683724464211277,2.683724464211277,3,3,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46890,전라남도,완도군,visit_care,institution,shortage_priority,2575.0,38.0,0,38.0,14.757281553398059,14.757281553398059,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46900,전라남도,진도군,visit_care,institution,shortage_priority,1511.5,22.0,0,22.0,14.555077737347005,14.555077737347005,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,46910,전라남도,신안군,visit_care,institution,shortage_priority,1939.5,22.0,0,22.0,11.34312967259603,11.34312967259603,1.097927220998102,1.097927220998102,2,2,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47730,경상북도,의성군,visit_care,institution,shortage_priority,3596.5,42.0,0,42.0,11.67802029751147,11.67802029751147,0.8315005157616326,0.8315005157616326,1,1,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47750,경상북도,청송군,visit_care,institution,shortage_priority,1085.5,8.0,0,8.0,7.369875633348688,7.369875633348688,4.9274555289473785,4.9274555289473785,5,5,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47760,경상북도,영양군,visit_care,institution,shortage_priority,754.0,9.0,0,9.0,11.936339522546419,11.936339522546419,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47770,경상북도,영덕군,visit_care,institution,shortage_priority,2183.0,26.0,0,26.0,11.910215300045808,11.910215300045808,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47820,경상북도,청도군,visit_care,institution,shortage_priority,2719.5,42.0,0,42.0,15.444015444015445,15.444015444015445,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47830,경상북도,고령군,visit_care,institution,shortage_priority,1334.0,20.0,0,20.0,14.992503748125937,14.992503748125937,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47840,경상북도,성주군,visit_care,institution,shortage_priority,2043.0,19.0,0,19.0,9.30004894762604,9.30004894762604,5.330531225830949,5.330531225830949,6,6,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47850,경상북도,칠곡군,visit_care,institution,shortage_priority,3196.0,49.0,0,49.0,15.331664580725906,15.331664580725906,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47900,경상북도,예천군,visit_care,institution,shortage_priority,2676.5,38.0,0,38.0,14.19764617971231,14.19764617971231,0.0,0.0,0,0,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47920,경상북도,봉화군,visit_care,institution,shortage_priority,1176.5,10.0,0,10.0,8.499787505312366,8.499787505312366,4.011194315805243,4.011194315805243,5,5,False,False,,
20260727T063718Z_visit_care_institution_shortage_priority,47930,경상북도,울진군,visit_care,institution,shortage_priority,2376.5,21.0,2,23.0,8.836524300441827,9.678098043341047,7.302255241403451,5.302255241403451,8,6,False,False,"2,5",잔여 정수형 필요량 최대
