longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminNm,adminPttnCd,longTermAdminSym,longTermPeribRgtDt,siDoCd,siGunGuCd,stpRptDt
,,,,,,,굿모닝주야간보호센터,B03,22611000103,20211122,26,110,20211110
,,,,,,,더드림재가복지센터,B05,22614000098,20240517,26,140,20240424
,,,,,,,로뎀복지용구,B06,22611000112,20231201,26,110,20231024
,,,,,,,효자효녀노인복지센터,C01,32611000029,20090416,26,110,20090416
,,,,,,,한울타리재가노인복지센터,C02,32611000060,20140424,26,110,20140424
,,,,,,,효송주야간보호센터,C03,32614000071,20191208,26,140,20191208
,,,,,,,(주)간호박사종합재가센터,C05,32617000059,20091223,26,170,20091223
,,,,,,,유창,C06,32611000061,20140722,26,110,20140722
,,,,,,,애광노인치매전문요양원,G31,12641000003,20080530,26,410,19981027
,,,,,,,애광노인치매전문요양원,G32,12641000003,20080530,26,410,19981027
,,,,,,,부산광역시 노인건강센터,G33,12653000078,20110407,26,530,20110407
,,,,,,,애광재가노인복지기관,H31,22641000013,20080530,26,410,19951230
,,,,,,,함께노인주간보호센터,I31,32653000106,20140822,26,530,20140822
,,,,,,,실버웰요양센터,A03,12614000053,20130101,26,140,20130101
,,,,,,,새롬노인요양공동생활가정,A04,12623000281,20170101,26,230,20170101
,,,,,,,(주)돌보미재가복지센터,B01,22611000101,20210916,26,110,20210906
,,,,,,,참벗재가복지센터,B02,22611000102,20210916,26,110,20210906
,,,,,,,선한데이케어센터,B03,22611000105,20220203,26,110,20220119
,,,,,,,푸른누리재가복지센터,B05,22623000395,20211006,26,230,20211006
,,,,,,,건강의료기,B06,22611000118,20260225,26,110,20260130
,,,,,,,예손은노인복지요양센터,C01,32611000030,20090416,26,110,20090416
,,,,,,,동행재가노인복지센터,C02,32611000083,20181102,26,110,20181102
,,,,,,,소은노인주간보호센터,C03,32614000080,20191231,26,140,20191231
,,,,,,,부산사랑노인복지센터주식회사,C05,32620000118,20190701,26,200,20190701
,,,,,,,조은재가복지센터,C06,32611000097,20191209,26,110,20191209
