longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminPttnCd,fmNowPer,fmRsvPer,longTermAdminSym,maNowPer,maRsvPer,totPer
21159000283,H32,11,590,굿모닝동작데이케어센터,00,NORMAL SERVICE.,H32,7,,21159000283,1,,8
11138000217,M31,11,380,노블케어스,00,NORMAL SERVICE.,M31,11,2,11138000217,0,0,12
11130500229,S41,11,305,사랑나눔요양원2,00,NORMAL SERVICE.,S41,3,1,11130500229,6,1,9
11141000170,S41,11,410,중앙실버노인요양공동생활가정,00,NORMAL SERVICE.,S41,6,0,11141000170,0,0,6
11168000127,S41,11,680,구립대치노인요양센터,00,NORMAL SERVICE.,S41,7,16,11168000127,0,,8
12911000006,A03,12,210,아가페실버센터,00,NORMAL SERVICE.,A03,20,2,12911000006,0,0,28
12911000013,A03,12,210,꽃메요양원,00,NORMAL SERVICE.,A03,28,0,12911000013,0,0,28
12911000022,A03,12,210,천혜경로원,00,NORMAL SERVICE.,A03,53,0,12911000022,4,,71
12911000052,A03,12,210,용연실버빌,00,NORMAL SERVICE.,A03,14,0,12911000052,7,0,47
12911000086,A03,12,210,나눔요양원,00,NORMAL SERVICE.,A03,31,0,12911000086,2,0,37
12911000256,A03,12,210,해피맘요양원,00,NORMAL SERVICE.,A03,15,,12911000256,2,0,26
12911000096,A04,12,210,효드림노인복지센터,00,NORMAL SERVICE.,A04,8,0,12911000096,0,0,9
12911000254,A04,12,210,엠마의집,00,NORMAL SERVICE.,A04,6,0,12911000254,1,0,9
12915500209,A04,12,270,알곡사랑요양원,00,NORMAL SERVICE.,A04,5,0,12915500209,2,0,9
12917000275,A04,12,300,현대실버빌,00,NORMAL SERVICE.,A04,9,0,12917000275,0,0,9
12917000295,A04,12,300,정드림케어하우스,00,NORMAL SERVICE.,A04,7,0,12917000295,0,0,9
22911000007,B01,12,210,아가페실버센터,00,NORMAL SERVICE.,B01,25,,22911000007,8,0,0
22911000009,B01,12,210,C.C.C.동구노인복지센터,00,NORMAL SERVICE.,B01,31,0,22911000009,4,0,0
22911000014,B01,12,210,꽃메요양원,00,NORMAL SERVICE.,B01,12,0,22911000014,7,0,0
22911000048,B01,12,210,대해노인복지센터,00,NORMAL SERVICE.,B01,13,0,22911000048,0,0,0
22911000287,B01,12,210,선인종합재가센터,00,NORMAL SERVICE.,B01,,,22911000287,,,0
22911000009,B02,12,210,C.C.C.동구노인복지센터,00,NORMAL SERVICE.,B02,4,0,22911000009,0,0,0
22911000048,B02,12,210,대해노인복지센터,00,NORMAL SERVICE.,B02,,0,22911000048,0,0,0
22911000312,B02,12,210,예향노인복지센터,00,NORMAL SERVICE.,B02,,,22911000312,,,0
22911000326,B02,12,210,동구천사노인복지센터,00,NORMAL SERVICE.,B02,19,,22911000326,3,,0
22911000339,B02,12,210,다정한노인재가복지센터,00,NORMAL SERVICE.,B02,,,22911000339,,,0
22911000009,B03,12,210,C.C.C.동구노인복지센터,00,NORMAL SERVICE.,B03,24,0,22911000009,5,0,31
22911000014,B03,12,210,꽃메요양원,00,NORMAL SERVICE.,B03,28,,22911000014,7,0,40
22911000048,B03,12,210,대해노인복지센터,00,NORMAL SERVICE.,B03,17,,22911000048,2,,25
22911000327,B03,12,210,자연숲노인복지센터,00,NORMAL SERVICE.,B03,60,,22911000327,21,,122
22911000334,B03,12,210,계림노인주간보호센터,00,NORMAL SERVICE.,B03,27,0,22911000334,7,0,38
24681000003,B04,12,780,강진노인복지센터,00,NORMAL SERVICE.,B04,0,0,24681000003,0,0,7
24687000001,B04,12,830,청람노인복지센터,00,NORMAL SERVICE.,B04,0,0,24687000001,0,0,4
24689000091,B04,12,850,어르신케어 종합복지센터 효드림,00,NORMAL SERVICE.,B04,0,,24689000091,0,,5
22911000312,B05,12,210,예향노인복지센터,00,NORMAL SERVICE.,B05,,,22911000312,,,0
22911000349,B05,12,210,보라방문간호센터,00,NORMAL SERVICE.,B05,20,,22911000349,12,,0
22911000356,B05,12,210,뉴정나눔노인복지센터,00,NORMAL SERVICE.,B05,2,,22911000356,0,,0
22914000463,B05,12,240,동행노인재가복지센터,00,NORMAL SERVICE.,B05,12,,22914000463,11,,0
22914000471,B05,12,240,최하현 방문간호 요양센터,00,NORMAL SERVICE.,B05,17,0,22914000471,15,,0
22911000331,B06,12,210,한국의료기기,00,NORMAL SERVICE.,B06,,,22911000331,,,0
22911000333,B06,12,210,아이에스메티칼,00,NORMAL SERVICE.,B06,,,22911000333,,,0
22911000338,B06,12,210,편한 의료기,00,NORMAL SERVICE.,B06,,,22911000338,,,0
22911000358,B06,12,210,100세동안 실버케어,00,NORMAL SERVICE.,B06,,,22911000358,,,0
22911000371,B06,12,210,미래로의료기,00,NORMAL SERVICE.,B06,,,22911000371,,,0
32911000065,C01,12,210,희망노인복지센터,00,NORMAL SERVICE.,C01,,,32911000065,,,
32911000079,C01,12,210,계림재가노인요양센터,00,NORMAL SERVICE.,C01,,,32911000079,,,
32911000089,C01,12,210,효사랑계림 노인복지센터,00,NORMAL SERVICE.,C01,,,32911000089,,,0
32911000090,C01,12,210,한마음실버요양센터,00,NORMAL SERVICE.,C01,,,32911000090,,,0
32911000239,C01,12,210,광주여성노인재가센터,00,NORMAL SERVICE.,C01,,,32911000239,,,0
32911000065,C02,12,210,희망노인복지센터,00,NORMAL SERVICE.,C02,,,32911000065,,,
32911000089,C02,12,210,효사랑계림 노인복지센터,00,NORMAL SERVICE.,C02,,,32911000089,,,0
32911000090,C02,12,210,한마음실버요양센터,00,NORMAL SERVICE.,C02,,,32911000090,,,0
32911000273,C02,12,210,한가족복지센터,00,NORMAL SERVICE.,C02,,,32911000273,,,0
32911000292,C02,12,210,조은재가복지센터,00,NORMAL SERVICE.,C02,3,,32911000292,0,,0
32914000059,C03,12,240,광주재활센타,00,NORMAL SERVICE.,C03,2,0,32914000059,5,0,12
32914000373,C03,12,240,광주서구노인주간보호센터,00,NORMAL SERVICE.,C03,12,,32914000373,4,,28
32914000392,C03,12,240,굿데이케어센터,00,NORMAL SERVICE.,C03,17,1,32914000392,6,1,28
32914000395,C03,12,240,더불어노인주간보호센터,00,NORMAL SERVICE.,C03,21,,32914000395,12,,33
32914000399,C03,12,240,"상무노인복지학교(주간보호,치매예방교육)",00,NORMAL SERVICE.,C03,43,,32914000399,20,,73
32911000323,C05,12,210,하늘빛방문간호센터,00,NORMAL SERVICE.,C05,,,32911000323,,,0
32914000289,C05,12,240,365나눔노인장기요양기관,00,NORMAL SERVICE.,C05,45,,32914000289,22,,0
32914000442,C05,12,240,새로나재가노인요양복지센터,00,NORMAL SERVICE.,C05,,,32914000442,,,0
32914000453,C05,12,240,구구팔팔재가복지센터,00,NORMAL SERVICE.,C05,,,32914000453,0,,0
32915500289,C05,12,270,사랑손통합재가센터,00,NORMAL SERVICE.,C05,26,,32915500289,10,,100
32911000034,C06,12,210,명성의료기,00,NORMAL SERVICE.,C06,,,32911000034,,,
32911000047,C06,12,210,광주의료기,00,NORMAL SERVICE.,C06,,,32911000047,,,
32911000074,C06,12,210,효도의료기,00,NORMAL SERVICE.,C06,,,32911000074,,,
32911000275,C06,12,210,태광의료기,00,NORMAL SERVICE.,C06,,,32911000275,1,,0
32911000288,C06,12,210,믿음의료기,00,NORMAL SERVICE.,C06,,,32911000288,,,0
12911000256,G31,12,210,해피맘요양원,00,NORMAL SERVICE.,G31,11,,12911000256,5,,16
12920000003,G31,12,330,바라밀실버하우스,00,NORMAL SERVICE.,G31,13,2,12920000003,1,0,16
14611000358,G31,12,110,산책하는요양원,00,NORMAL SERVICE.,G31,2,,14611000358,8,,10
14615000134,G31,12,150,낙안효자실버빌,00,NORMAL SERVICE.,G31,0,,14615000134,0,,12
14615000152,G31,12,150,효자노인복지센터,00,NORMAL SERVICE.,G31,0,,14615000152,0,,14
14611000358,G32,12,110,산책하는요양원,00,NORMAL SERVICE.,G32,10,,14611000358,,,10
14615000134,G32,12,150,낙안효자실버빌,00,NORMAL SERVICE.,G32,0,,14615000134,0,,12
14617000005,G32,12,170,나주시노인요양원,00,NORMAL SERVICE.,G32,10,0,14617000005,0,0,11
14623000165,G32,12,190,마로현노인요양원,00,NORMAL SERVICE.,G32,11,,14623000165,1,,12
14677000160,G32,12,740,도양노인건강복지타운 치매전문요양원,00,NORMAL SERVICE.,G32,12,,14677000160,,,12
