longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,BDongCd,HDongCd,adminFdatType,adminNm,adminPttnCd,detailAddr,fl,gunmulMlno,gunmulSlno,hmPostNo,locTelNo_1,locTelNo_2,locTelNo_3,longTermAdminSym,longTermPeribRgtDt,riCd,roadNmCd,siDoCd,siGunGuCd,stpRptDt
31132000320,C04,11,320,도봉요양원,00,NORMAL SERVICE.,105,660,4,도봉요양원,C04,,,601,0,01395,02,900,9898,31132000320,20141204,00,113203005039,11,320,20141204
31114000018,C05,11,140,우영요양센터,00,NORMAL SERVICE.,154,590,4,우영요양센터,C05,206번지 3호,,20,0,04559,070,7521,4653,31114000018,20081209,00,111404103358,11,140,20081205
31117000098,C05,11,170,새봄간호요양센타,00,NORMAL SERVICE.,117,570,4,새봄간호요양센타,C05,,,24,0,04363,02,701,0617,31117000098,20150310,00,111704106244,11,170,20150304
31117000121,C05,11,170,고운손방문요양센터주식회사,00,NORMAL SERVICE.,121,590,3,고운손방문요양센터주식회사,C05,,,33,0,04356,02,718,2959,31117000121,20170310,00,111704106132,11,170,20170310
31117000148,C05,11,170,참사랑복지센터,00,NORMAL SERVICE.,131,685,4,참사랑복지센터,C05,,,211,0,04349,02,796,8080,31117000148,20190311,00,111703102009,11,170,20190311
31120000015,C05,11,200,(A+)성동구방문요양간호센터,00,NORMAL SERVICE.,105,540,4,(A+)성동구방문요양간호센터,C05,,2,273,0,04755,02,2612,9000,31120000015,20080630,00,112003005009,11,200,20080630
31111000012,C06,11,110,(주)이원건강의료기,00,NORMAL SERVICE.,177,580,3,(주)이원건강의료기,C06,,,35,0,03180,02,3673,2121,31111000012,20080710,00,111104100002,11,110,20080704
31111000015,C06,11,110,(주)통일의료기,00,NORMAL SERVICE.,164,630,3,(주)통일의료기,C06,,,275,0,03124,02,741,1461,31111000015,20080902,00,111103100013,11,110,20080902
31111000042,C06,11,110,제일복지용구,00,NORMAL SERVICE.,159,615,4,제일복지용구,C06,,1,158,0,03081,02,745,8382,31111000042,20090821,00,111103005008,11,110,20090817
31114000063,C06,11,140,명신,00,NORMAL SERVICE.,162,650,4,명신,C06,,1,9,0,04585,02,2254,3787,31114000063,20190128,00,111404103064,11,140,20190128
31117000029,C06,11,170,천사랑 노인복지센터,00,NORMAL SERVICE.,118,570,4,천사랑 노인복지센터,C06,,,31,0,04360,02,707,1429,31117000029,20090305,00,111704106233,11,170,20090304
11120000010,G31,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,103,535,2,시립동부노인전문요양센터,G31,,,12,0,04706,02,3407,2700,11120000010,20080619,00,112004109168,11,200,20080619
11123000381,G31,11,230,시립동대문실버케어센터,00,NORMAL SERVICE.,105,600,2,시립동대문실버케어센터,G31,,,12,0,02591,02,6956,8650,11123000381,20220517,00,112303105019,11,230,20220517
11126000271,G31,11,260,서울시립중랑노인전문요양원,00,NORMAL SERVICE.,105,655,2,서울시립중랑노인전문요양원,G31,,,38,0,02062,02,437,0144,11126000271,20150301,00,112603106008,11,260,20150301
11129000365,G31,11,290,e포근한요양원,00,NORMAL SERVICE.,133,640,4,e포근한요양원,G31,,,32,0,02708,02,6228,9987,11129000365,20231030,00,112904121369,11,290,20231020
11130500172,G31,11,305,강북실버종합복지센터,00,NORMAL SERVICE.,101,535,2,강북실버종합복지센터,G31,,,290,0,01141,02,984,0300,11130500172,20130516,00,113053005044,11,305,20130515
11120000010,G32,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,103,535,2,시립동부노인전문요양센터,G32,,,12,0,04706,02,3407,2700,11120000010,20080619,00,112004109168,11,200,20080619
11123000381,G32,11,230,시립동대문실버케어센터,00,NORMAL SERVICE.,105,600,2,시립동대문실버케어센터,G32,,,12,0,02591,02,6956,8650,11123000381,20220517,00,112303105019,11,230,20220517
11126000271,G32,11,260,서울시립중랑노인전문요양원,00,NORMAL SERVICE.,105,655,2,서울시립중랑노인전문요양원,G32,,,38,0,02062,02,437,0144,11126000271,20150301,00,112603106008,11,260,20150301
11138000065,G32,11,380,붓다마을,00,NORMAL SERVICE.,114,690,3,붓다마을,G32,250번지,,41,0,03308,02,3156,7500,11138000065,20090703,00,113804133182,11,380,20090703
11144000012,G32,11,440,시립서부노인전문요양센터,00,NORMAL SERVICE.,125,730,2,시립서부노인전문요양센터,G32,,,15,0,03937,02,376,0472,11144000012,20080604,00,114404139506,11,440,20080604
11120000010,G33,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,103,535,2,시립동부노인전문요양센터,G33,,,12,0,04706,02,3407,2700,11120000010,20080619,00,112004109168,11,200,20080619
11123000381,G33,11,230,시립동대문실버케어센터,00,NORMAL SERVICE.,105,600,2,시립동대문실버케어센터,G33,,,12,0,02591,02,6956,8650,11123000381,20220517,00,112303105019,11,230,20220517
11138000065,G33,11,380,붓다마을,00,NORMAL SERVICE.,114,690,3,붓다마을,G33,250번지,,41,0,03308,02,3156,7500,11138000065,20090703,00,113804133182,11,380,20090703
11144000012,G33,11,440,시립서부노인전문요양센터,00,NORMAL SERVICE.,125,730,2,시립서부노인전문요양센터,G33,,,15,0,03937,02,376,0472,11144000012,20080604,00,114404139506,11,440,20080604
11174000422,G33,11,740,시립강동실버케어센터,00,NORMAL SERVICE.,102,550,2,시립강동실버케어센터,G33,,,185,0,05235,02,441,2302,11174000422,20230821,00,117403124001,11,740,20230821
11120000010,G34,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,103,535,2,시립동부노인전문요양센터,G34,,,12,0,04706,02,3407,2700,11120000010,20080619,00,112004109168,11,200,20080619
11120000010,G35,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,103,535,2,시립동부노인전문요양센터,G35,,,12,0,04706,02,3407,2700,11120000010,20080619,00,112004109168,11,200,20080619
11120000010,G36,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,103,535,2,시립동부노인전문요양센터,G36,,,12,0,04706,02,3407,2700,11120000010,20080619,00,112004109168,11,200,20080619
11120000010,G37,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,103,535,2,시립동부노인전문요양센터,G37,,,12,0,04706,02,3407,2700,11120000010,20080619,00,112004109168,11,200,20080619
11120000010,G38,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,103,535,2,시립동부노인전문요양센터,G38,,,12,0,04706,02,3407,2700,11120000010,20080619,00,112004109168,11,200,20080619
