year,province,sigungu,kosis_region_code,unique_benefit_users_total,home_service_user_sum,home_service_days,home_provider_count_sum,facility_service_user_sum,facility_service_days,facility_provider_count_sum,facility_user_share_proxy_pct,home_user_share_proxy_pct
2013,경남,창원시 마산합포구,15350AC400O103,1535.0,1850.0,207132.0,326.0,672.0,140135.0,113.0,43.77850162866449,120.5211726384365
2013,경남,창원시 마산회원구,15350AC400O104,1090.0,1464.0,163847.0,295.0,331.0,67849.0,103.0,30.36697247706422,134.3119266055046
2013,경남,창원시 성산구,15350AC400O102,677.0,910.0,88522.0,335.0,262.0,57191.0,132.0,38.70014771048744,134.41654357459382
2013,경남,창원시 의창구,15350AC400O101,1169.0,1390.0,129749.0,364.0,656.0,127013.0,131.0,56.11633875106929,118.90504704875961
2013,경남,창원시 진해구,15350AC400O105,965.0,1083.0,113345.0,266.0,487.0,99919.0,113.0,50.46632124352332,112.22797927461139
2013,경남,통영시,15350AC400O107,804.0,798.0,78852.0,139.0,342.0,84187.0,63.0,42.53731343283582,99.25373134328358
2013,경남,하동군,15350AC400O118,1156.0,1588.0,136030.0,248.0,504.0,105153.0,97.0,43.59861591695502,137.37024221453288
2013,경남,함안군,15350AC400O114,905.0,1129.0,112273.0,205.0,378.0,84132.0,96.0,41.767955801104975,124.7513812154696
2013,경남,함양군,15350AC400O120,1239.0,1811.0,160945.0,182.0,706.0,123565.0,83.0,56.98143664245359,146.16626311541566
2013,경남,합천군,15350AC400O122,923.0,888.0,81457.0,249.0,538.0,135583.0,114.0,58.28819068255689,96.20801733477789
2013,경북,경산시,15350AC400N111,1809.0,2411.0,224388.0,540.0,778.0,171111.0,200.0,43.00718629076838,133.27805417357658
2013,경북,경주시,15350AC400N103,2525.0,3850.0,342718.0,470.0,809.0,172789.0,180.0,32.03960396039604,152.4752475247525
2013,경북,고령군,15350AC400N118,496.0,604.0,55871.0,163.0,240.0,56490.0,85.0,48.38709677419355,121.7741935483871
2013,경북,구미시,15350AC400N106,1942.0,2395.0,200514.0,455.0,1231.0,242379.0,255.0,63.38825952626158,123.3264675592173
2013,경북,군위군,15350AC400N112,625.0,809.0,75358.0,160.0,266.0,62245.0,78.0,42.559999999999995,129.44
2013,경북,김천시,15350AC400N104,1617.0,1951.0,165591.0,322.0,1005.0,193002.0,200.0,62.152133580705005,120.65553494124923
2013,경북,문경시,15350AC400N110,1485.0,1544.0,162801.0,236.0,673.0,154687.0,143.0,45.31986531986532,103.97306397306399
2013,경북,봉화군,15350AC400N122,470.0,361.0,33690.0,141.0,253.0,58779.0,62.0,53.829787234042556,76.80851063829788
2013,경북,상주시,15350AC400N109,1752.0,1645.0,164011.0,317.0,1026.0,200456.0,223.0,58.56164383561644,93.89269406392694
2013,경북,성주군,15350AC400N119,720.0,861.0,83536.0,182.0,333.0,75267.0,98.0,46.25,119.58333333333333
