시도,시군구,신청자_공개값합계,신청자_비공개셀수,신청자_추정하한,신청자_추정상한,인정자_공개값합계,인정자_비공개셀수,인정자_추정하한,인정자_추정상한,자료기준
전북,남원시,4925,7,4932,4953,3774,102,3876,4182,2026-05-31
전북,무주군,1315,9,1324,1351,860,94,954,1236,2026-05-31
전북,부안군,3142,8,3150,3174,2335,97,2432,2723,2026-05-31
전북,순창군,1867,5,1872,1887,1211,96,1307,1595,2026-05-31
전북,완주군,4901,8,4909,4933,3721,88,3809,4073,2026-05-31
전북,익산시,12250,3,12253,12262,9546,66,9612,9810,2026-05-31
전북,임실군,1885,7,1892,1913,1367,92,1459,1735,2026-05-31
전북,장수군,1018,7,1025,1046,630,82,712,958,2026-05-31
전북,전주시,22341,3,22344,22353,17659,42,17701,17827,2026-05-31
전북,정읍시,7025,4,7029,7041,5149,99,5248,5545,2026-05-31
전북,진안군,1539,8,1547,1571,1111,91,1202,1475,2026-05-31
제주,서귀포시,4920,5,4925,4940,3209,90,3299,3569,2026-05-31
제주,제주시,11961,6,11967,11985,9181,48,9229,9373,2026-05-31
충청남도,계룡시,956,6,962,980,570,99,669,966,2026-05-31
충청남도,공주시,5961,6,5967,5985,4646,78,4724,4958,2026-05-31
충청남도,금산군,3448,7,3455,3476,2718,90,2808,3078,2026-05-31
충청남도,논산시,7263,5,7268,7283,5702,74,5776,5998,2026-05-31
충청남도,당진군,0,5,5,20,0,0,0,0,2026-05-31
충청남도,당진시,6841,4,6845,6857,5566,94,5660,5942,2026-05-31
충청남도,보령시,4800,8,4808,4832,3655,84,3739,3991,2026-05-31
충청남도,부여군,4257,8,4265,4289,3223,88,3311,3575,2026-05-31
충청남도,서산시,7522,6,7528,7546,6145,80,6225,6465,2026-05-31
충청남도,서천군,3884,6,3890,3908,2942,89,3031,3298,2026-05-31
충청남도,아산시,8734,6,8740,8758,6933,57,6990,7161,2026-05-31
충청남도,연기군,0,0,0,0,0,0,0,0,2026-05-31
충청남도,예산군,4419,7,4426,4447,3281,94,3375,3657,2026-05-31
충청남도,천안시,14762,5,14767,14782,11957,33,11990,12089,2026-05-31
충청남도,청양군,2001,6,2007,2025,1360,94,1454,1736,2026-05-31
충청남도,태안군,3347,7,3354,3375,2313,102,2415,2721,2026-05-31
충청남도,홍성군,4937,6,4943,4961,3902,88,3990,4254,2026-05-31
충청북도,괴산군,1933,7,1940,1961,1319,110,1429,1759,2026-05-31
충청북도,단양군,1356,5,1361,1376,876,89,965,1232,2026-05-31
충청북도,보은군,2208,2,2210,2216,1601,101,1702,2005,2026-05-31
충청북도,영동군,3143,7,3150,3171,2380,105,2485,2800,2026-05-31
충청북도,옥천군,3013,9,3022,3049,2232,105,2337,2652,2026-05-31
충청북도,음성군,3378,4,3382,3394,2567,81,2648,2891,2026-05-31
충청북도,제천시,5727,6,5733,5751,4413,85,4498,4753,2026-05-31
충청북도,증평군,1314,6,1320,1338,916,117,1033,1384,2026-05-31
충청북도,진천군,2463,5,2468,2483,1705,105,1810,2125,2026-05-31
충청북도,청원군,0,4,4,16,0,0,0,0,2026-05-31
충청북도,청주시,24081,3,24084,24093,20499,39,20538,20655,2026-05-31
충청북도,충주시,7930,5,7935,7950,6294,72,6366,6582,2026-05-31
