주민등록_시군구코드,기준연월,시도명,시군구명,총인구,65세이상인구,75세이상인구,85세이상인구,65세이상남자,65세이상여자,고령화율
41360,2026-06-30,경기도,남양주시,727440,142550,55935,14449,64008,78542,19.59611789288464
41370,2026-06-30,경기도,오산시,253590,34066,12293,3098,15327,18739,13.433495011632951
41390,2026-06-30,경기도,시흥시,514831,74706,25108,6985,35379,39327,14.510781207813828
41410,2026-06-30,경기도,군포시,249462,51815,19157,5680,23265,28550,20.770698543265105
41430,2026-06-30,경기도,의왕시,164221,32901,11412,3180,15222,17679,20.034587537525653
41450,2026-06-30,경기도,하남시,327495,56386,19754,4441,26170,30216,17.217362097131254
41461,2026-06-30,경기도,용인시 처인구,286391,54963,20553,5548,25357,29606,19.191594707934257
41463,2026-06-30,경기도,용인시 기흥구,434590,76321,33940,9241,33812,42509,17.56160979313836
41465,2026-06-30,경기도,용인시 수지구,369230,59970,27759,7130,26922,33048,16.241908837310078
41480,2026-06-30,경기도,파주시,533387,94456,38870,11379,42224,52232,17.70871806024519
41500,2026-06-30,경기도,이천시,224740,43697,16253,4591,20453,23244,19.443356767820593
41550,2026-06-30,경기도,안성시,198785,45277,17890,5403,20698,24579,22.77686948210378
41570,2026-06-30,경기도,김포시,484042,84689,32663,8228,38671,46018,17.496209006656446
41591,2026-06-30,경기도,화성시 만세구,234482,43296,15966,4801,21011,22285,18.464530326421645
41593,2026-06-30,경기도,화성시 효행구,160481,25627,9279,2612,12067,13560,15.968868588804904
41595,2026-06-30,경기도,화성시 병점구,174794,21763,7576,1887,9815,11948,12.450656201013764
41597,2026-06-30,경기도,화성시 동탄구,428989,30404,9407,2194,13980,16424,7.087361214390113
41610,2026-06-30,경기도,광주시,399111,78180,27202,6649,36764,41416,19.58853552019363
41630,2026-06-30,경기도,양주시,297226,56892,22416,6052,25999,30893,19.140990357505736
41650,2026-06-30,경기도,포천시,140468,41261,15819,4887,19938,21323,29.37394993877609
41670,2026-06-30,경기도,여주시,113506,33425,13013,3794,15854,17571,29.4477824960795
41800,2026-06-30,경기도,연천군,42977,14788,6386,1960,6906,7882,34.40910254322079
41820,2026-06-30,경기도,가평군,62041,21597,8526,2458,10310,11287,34.81085088892829
41830,2026-06-30,경기도,양평군,126822,43216,16980,4765,20622,22594,34.07610666918989
43111,2026-06-30,충청북도,청주시 상당구,193079,40798,15557,4469,18227,22571,21.130210949922052
43112,2026-06-30,충청북도,청주시 서원구,187779,39755,14936,4159,17615,22140,21.171163974672353
43113,2026-06-30,충청북도,청주시 흥덕구,292625,43598,15074,4129,19658,23940,14.898932080307562
43114,2026-06-30,충청북도,청주시 청원구,186088,33438,12940,3871,14809,18629,17.96891793130132
43130,2026-06-30,충청북도,충주시,205978,54980,21862,6879,24789,30191,26.69217100855431
43150,2026-06-30,충청북도,제천시,128192,38381,15030,4366,17515,20866,29.940245881178235
43720,2026-06-30,충청북도,보은군,31181,13525,6040,2117,6179,7346,43.37577370834803
43730,2026-06-30,충청북도,옥천군,50547,18901,8024,2510,8756,10145,37.392921439452394
43740,2026-06-30,충청북도,영동군,43011,17768,7907,2438,8115,9653,41.31036246541582
43745,2026-06-30,충청북도,증평군,36741,8781,3437,1017,4004,4777,23.899730546256226
43750,2026-06-30,충청북도,진천군,85569,18464,7278,2457,8499,9965,21.57790788720214
43760,2026-06-30,충청북도,괴산군,37415,16412,6859,2185,7884,8528,43.86476012294535
43770,2026-06-30,충청북도,음성군,95954,26403,10169,3192,12636,13767,27.51630989849303
43800,2026-06-30,충청북도,단양군,26628,11286,4582,1306,5249,6037,42.38395673726904
44131,2026-06-30,충청남도,천안시 동남구,263653,52621,19794,5709,24071,28550,19.95843020940403
44133,2026-06-30,충청남도,천안시 서북구,402529,52430,18559,5215,23984,28446,13.025148498617492
44150,2026-06-30,충청남도,공주시,99757,34013,14950,4871,15496,18517,34.09585292260192
44180,2026-06-30,충청남도,보령시,91260,31418,14017,4166,13954,17464,34.42691211921981
44200,2026-06-30,충청남도,아산시,363678,59018,23699,6956,26799,32219,16.228091883479344
44210,2026-06-30,충청남도,서산시,171136,41975,18609,5961,19180,22795,24.527276551982048
44230,2026-06-30,충청남도,논산시,105977,36530,16482,5319,16245,20285,34.46974343489625
44250,2026-06-30,충청남도,계룡시,45959,7812,2778,802,3469,4343,16.997758872038123
44270,2026-06-30,충청남도,당진시,172400,40186,17520,5599,18745,21441,23.309744779582367
44710,2026-06-30,충청남도,금산군,48939,19220,8672,2741,8783,10437,39.27338114795971
44760,2026-06-30,충청남도,부여군,57762,25613,12293,4226,11449,14164,44.3423011668571
44770,2026-06-30,충청남도,서천군,46761,20945,10411,3506,9225,11720,44.791599837471395
44790,2026-06-30,충청남도,청양군,30051,12963,6170,2203,5927,7036,43.13666766496955
44800,2026-06-30,충청남도,홍성군,101566,29222,13454,4438,12972,16250,28.77143926117008
44810,2026-06-30,충청남도,예산군,78318,29283,13548,4468,13071,16212,37.38987206006282
44825,2026-06-30,충청남도,태안군,59039,24025,11079,3204,10887,13138,40.6934399295381
46110,2026-06-30,전라남도,목포시,199524,47425,19933,4793,20442,26983,23.769070387522305
46130,2026-06-30,전라남도,여수시,260502,68279,28759,7275,30589,37690,26.210547327851607
46150,2026-06-30,전라남도,순천시,274131,58612,24185,7216,26235,32377,21.381018564117156
46170,2026-06-30,전라남도,나주시,116691,30728,14290,4443,13636,17092,26.332793445938417
46230,2026-06-30,전라남도,광양시,155975,28148,10712,3253,13131,15017,18.046481807982047
46710,2026-06-30,전라남도,담양군,44031,16914,8169,2684,7613,9301,38.41384479116986
46720,2026-06-30,전라남도,곡성군,27657,11583,5962,2261,5093,6490,41.88089814513505
46730,2026-06-30,전라남도,구례군,24337,10138,5148,1769,4343,5795,41.656736656120316
46770,2026-06-30,전라남도,고흥군,58976,28413,15132,5222,12145,16268,48.17722463374932
46780,2026-06-30,전라남도,보성군,37559,16869,8935,3223,7195,9674,44.913336350808066
46790,2026-06-30,전라남도,화순군,59909,19853,9720,3287,8727,11126,33.13859353352584
46800,2026-06-30,전라남도,장흥군,33952,13971,7241,2591,5901,8070,41.149269557021675
46810,2026-06-30,전라남도,강진군,31666,13064,6745,2318,5598,7466,41.25560538116592
46820,2026-06-30,전라남도,해남군,62027,24626,12186,3845,10727,13899,39.702065229658054
46830,2026-06-30,전라남도,영암군,50076,16430,8031,2651,7241,9189,32.810128604521125
46840,2026-06-30,전라남도,무안군,95659,20837,9454,2740,9225,11612,21.78258187938406
46860,2026-06-30,전라남도,함평군,29601,12736,6551,2301,5530,7206,43.02557346035607
46870,2026-06-30,전라남도,영광군,53902,17674,8772,2681,7582,10092,32.78913583911543
46880,2026-06-30,전라남도,장성군,43095,15429,7598,2493,6967,8462,35.80229725026105
46890,2026-06-30,전라남도,완도군,44175,17538,9040,2813,7569,9969,39.70118845500849
46900,2026-06-30,전라남도,진도군,27882,11249,5822,1935,4828,6421,40.34502546445736
46910,2026-06-30,전라남도,신안군,42319,16501,7936,2533,7668,8833,38.991942153642576
47111,2026-06-30,경상북도,포항시 남구,212298,54819,19681,4557,25077,29742,25.821722296017864
47113,2026-06-30,경상북도,포항시 북구,274710,65981,23676,5993,29700,36281,24.01841942411998
47130,2026-06-30,경상북도,경주시,243051,72258,30357,8721,31901,40357,29.729562931236654
47150,2026-06-30,경상북도,김천시,132740,39731,17160,5598,17488,22243,29.931444929938223
47170,2026-06-30,경상북도,안동시,151864,46593,20677,6449,20315,26278,30.680740662698202
47190,2026-06-30,경상북도,구미시,402726,60057,19862,5689,27601,32456,14.912620491351438
47210,2026-06-30,경상북도,영주시,96440,33229,14825,4638,14441,18788,34.455620074657816
47230,2026-06-30,경상북도,영천시,94107,34662,15402,4452,15693,18969,36.83254168127769
47250,2026-06-30,경상북도,상주시,89228,35206,16410,5626,15158,20048,39.456224503519074
47280,2026-06-30,경상북도,문경시,64774,25279,11615,3747,10917,14362,39.02646123444592
47290,2026-06-30,경상북도,경산시,263406,59813,24184,6478,26489,33324,22.707531339453162
47730,2026-06-30,경상북도,의성군,47952,24027,11469,3893,10677,13350,50.10635635635635
47750,2026-06-30,경상북도,청송군,24020,10843,5107,1679,4786,6057,45.14154870940882
47760,2026-06-30,경상북도,영양군,15972,7035,3353,1144,3050,3985,44.045830202854994
47770,2026-06-30,경상북도,영덕군,32560,14945,7437,2478,6164,8781,45.89987714987715
47820,2026-06-30,경상북도,청도군,40021,19045,8707,2839,8652,10393,47.58751655380925
47830,2026-06-30,경상북도,고령군,29545,12167,5359,1745,5586,6581,41.18124894229142
47840,2026-06-30,경상북도,성주군,40461,17243,7310,2229,8157,9086,42.616346605373074
47850,2026-06-30,경상북도,칠곡군,103537,23770,9677,2999,10920,12850,22.957976375595198
47900,2026-06-30,경상북도,예천군,53422,18847,9057,3296,8335,10512,35.279472876343085
47920,2026-06-30,경상북도,봉화군,28122,13123,6085,2164,6016,7107,46.664533105753506
47930,2026-06-30,경상북도,울진군,46195,15934,7380,2609,6853,9081,34.49291048814806
47940,2026-06-30,경상북도,울릉군,8768,2900,1152,309,1400,1500,33.074817518248175
48121,2026-06-30,경상남도,창원시 의창구,209377,43425,13917,3361,20331,23094,20.740100393070872
48123,2026-06-30,경상남도,창원시 성산구,245292,37569,9883,2356,18418,19151,15.316031505307958
48125,2026-06-30,경상남도,창원시 마산합포구,174487,49425,19604,4866,21395,28030,28.325892473364778
48127,2026-06-30,경상남도,창원시 마산회원구,174175,45102,16611,3635,19925,25177,25.89464618917755
48129,2026-06-30,경상남도,창원시 진해구,182942,37492,14162,3646,16711,20781,20.4939270369844
48170,2026-06-30,경상남도,진주시,334651,76620,30985,8419,32964,43656,22.89549411177615
48220,2026-06-30,경상남도,통영시,115890,32906,12781,3146,14670,18236,28.394166882388472
48240,2026-06-30,경상남도,사천시,107882,30096,13271,3846,12869,17227,27.897146882705176
48250,2026-06-30,경상남도,김해시,532777,90747,31523,7868,41464,49283,17.03282987065883
48270,2026-06-30,경상남도,밀양시,98591,37055,15496,4419,16350,20705,37.58456654258502
48310,2026-06-30,경상남도,거제시,229029,40573,13259,3380,19182,21391,17.715223836282743
48330,2026-06-30,경상남도,양산시,361389,71786,26027,6409,32283,39503,19.86391395421554
48720,2026-06-30,경상남도,의령군,24531,11216,5372,1959,4899,6317,45.7217398393869
48730,2026-06-30,경상남도,함안군,56867,19771,8367,2675,9030,10741,34.76708811788911
48740,2026-06-30,경상남도,창녕군,54445,22415,9993,3145,9834,12581,41.16998806134632
48820,2026-06-30,경상남도,고성군,46808,18942,8671,2788,8402,10540,40.467441462997776
48840,2026-06-30,경상남도,남해군,41143,18171,9229,3330,7684,10487,44.16547164766789
48850,2026-06-30,경상남도,하동군,39596,17739,8446,2926,7917,9822,44.79997979593898
48860,2026-06-30,경상남도,산청군,32638,15044,7047,2513,6707,8337,46.093510631778905
48870,2026-06-30,경상남도,함양군,35141,14871,7232,2579,6315,8556,42.31808998036482
48880,2026-06-30,경상남도,거창군,58846,20343,9532,3395,8589,11754,34.56989430037726
48890,2026-06-30,경상남도,합천군,38854,18921,9335,3313,8081,10840,48.69768878365162
50110,2026-06-30,제주특별자치도,제주시,484123,92096,38161,11631,40848,51248,19.02326474883449
50130,2026-06-30,제주특별자치도,서귀포시,178669,44626,19711,6127,19906,24720,24.976912614947192
51110,2026-06-30,강원특별자치도,춘천시,285027,66488,27039,8591,29057,37431,23.32691288895438
51130,2026-06-30,강원특별자치도,원주시,364811,76544,28432,9014,34465,42079,20.98182346475298
51150,2026-06-30,강원특별자치도,강릉시,205666,58369,24461,7119,25473,32896,28.3804809740064
51170,2026-06-30,강원특별자치도,동해시,85589,23433,9519,2573,10411,13022,27.37851826753438
51190,2026-06-30,강원특별자치도,태백시,36811,12421,5202,1310,5452,6969,33.74263127869387
51210,2026-06-30,강원특별자치도,속초시,78893,21146,8109,2208,9311,11835,26.8033919359132
51230,2026-06-30,강원특별자치도,삼척시,60294,19952,8733,2675,8860,11092,33.09118651938833
51720,2026-06-30,강원특별자치도,홍천군,65849,24363,9432,3072,11645,12718,36.998283952679614
51730,2026-06-30,강원특별자치도,횡성군,45575,18436,7219,2265,8967,9469,40.45200219418541
51750,2026-06-30,강원특별자치도,영월군,35714,14054,5789,1736,6641,7413,39.3515148121185
51760,2026-06-30,강원특별자치도,평창군,39897,15356,6017,1801,7394,7962,38.489109456851395
51770,2026-06-30,강원특별자치도,정선군,35128,12956,5166,1434,6067,6889,36.882259166476885
51780,2026-06-30,강원특별자치도,철원군,39711,12246,5474,1544,5446,6800,30.837803127596885
51790,2026-06-30,강원특별자치도,화천군,22579,6942,2935,954,3283,3659,30.745382877895388
51800,2026-06-30,강원특별자치도,양구군,20372,5891,2428,770,2763,3128,28.91714117416061
51810,2026-06-30,강원특별자치도,인제군,30771,8679,3266,1044,4233,4446,28.205128205128204
51820,2026-06-30,강원특별자치도,고성군,27204,9753,4272,1315,4360,5393,35.85134539038376
51830,2026-06-30,강원특별자치도,양양군,27326,10299,4516,1330,4751,5548,37.68938007758179
52111,2026-06-30,전북특별자치도,전주시 완산구,313529,69448,28750,7539,29991,39457,22.15042308685959
52113,2026-06-30,전북특별자치도,전주시 덕진구,307345,57541,24451,6361,25299,32242,18.72195740942589
52130,2026-06-30,전북특별자치도,군산시,255591,64219,27084,6918,28796,35423,25.12568908920893
52140,2026-06-30,전북특별자치도,익산시,266758,70191,30008,8377,31024,39167,26.31261293007145
52180,2026-06-30,전북특별자치도,정읍시,100738,34282,16976,5535,14880,19402,34.03085230995255
52190,2026-06-30,전북특별자치도,남원시,73812,26161,12932,4320,11226,14935,35.44274643689373
52210,2026-06-30,전북특별자치도,김제시,81631,30000,14820,4894,13010,16990,36.750744202570104
52710,2026-06-30,전북특별자치도,완주군,100102,27560,12072,3663,12802,14758,27.53191744420691
52720,2026-06-30,전북특별자치도,진안군,24689,10514,5098,1720,4928,5586,42.58576694074284
52730,2026-06-30,전북특별자치도,무주군,23326,9356,4527,1606,4160,5196,40.10974877818743
52740,2026-06-30,전북특별자치도,장수군,21169,8755,4227,1457,3880,4875,41.35764561386934
52750,2026-06-30,전북특별자치도,임실군,25342,11198,5797,2069,5143,6055,44.18751479756926
52770,2026-06-30,전북특별자치도,순창군,27584,10831,5487,1893,4693,6138,39.2655162412993
52790,2026-06-30,전북특별자치도,고창군,50071,20870,10809,3513,8987,11883,41.68081324519183
52800,2026-06-30,전북특별자치도,부안군,46946,19234,9604,2995,8355,10879,40.97047671793124
