year,province,sigungu,kosis_region_code,service_type,benefit_users,provider_count_used,service_days,benefit_cost_thousand_krw,nhis_payment_thousand_krw
2013,강원,영월군,15350AC400I110,노인요양공동생활가정,35.0,12.0,6520.0,297594.0,255702.0
2013,강원,영월군,15350AC400I110,노인요양시설,231.0,50.0,58695.0,2824113.0,2476940.0
2013,강원,영월군,15350AC400I110,노인요양시설(구법),7.0,7.0,654.0,24031.0,19755.0
2013,강원,영월군,15350AC400I110,노인요양시설(단기보호전환),10.0,2.0,757.0,29899.0,25589.0
2013,강원,영월군,15350AC400I110,노인전문요양시설(구법),1.0,1.0,123.0,6581.0,5343.0
2013,강원,영월군,15350AC400I110,단기보호,0.0,0.0,0.0,0.0,0.0
2013,강원,영월군,15350AC400I110,방문간호,2.0,2.0,45.0,1839.0,1670.0
2013,강원,영월군,15350AC400I110,방문목욕,281.0,15.0,7123.0,498301.0,441732.0
2013,강원,영월군,15350AC400I110,방문요양,436.0,53.0,69941.0,2286856.0,2028237.0
2013,강원,영월군,15350AC400I110,복지용구,119.0,39.0,0.0,48208.0,42849.0
2013,강원,영월군,15350AC400I110,주야간보호,7.0,7.0,576.0,23012.0,19812.0
2013,강원,원주시,15350AC400I102,계,2680.0,560.0,559049.0,23884981.0,20959826.0
2013,강원,원주시,15350AC400I102,노인요양공동생활가정,186.0,53.0,36686.0,1684011.0,1478355.0
2013,강원,원주시,15350AC400I102,노인요양시설,1099.0,165.0,243463.0,11661354.0,10111558.0
2013,강원,원주시,15350AC400I102,노인요양시설(구법),80.0,18.0,7008.0,221923.0,191341.0
2013,강원,원주시,15350AC400I102,노인요양시설(단기보호전환),189.0,11.0,25088.0,1028000.0,897444.0
2013,강원,원주시,15350AC400I102,노인전문요양시설(구법),147.0,16.0,17828.0,831058.0,764436.0
2013,강원,원주시,15350AC400I102,단기보호,32.0,11.0,1432.0,51265.0,44632.0
2013,강원,원주시,15350AC400I102,방문간호,59.0,11.0,1060.0,40183.0,34515.0
2013,강원,원주시,15350AC400I102,방문목욕,327.0,49.0,6502.0,330161.0,293238.0
2013,강원,원주시,15350AC400I102,방문요양,1247.0,188.0,195331.0,6769456.0,6023910.0
2013,강원,원주시,15350AC400I102,복지용구,818.0,109.0,0.0,395498.0,353386.0
