longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,cyclTm,longTermAdminSym,pgmNm,pgmType,runPlc,tgtNop
34711000158,C06,47,111,미래복지재가센타,00,NORMAL SERVICE.,,,,,,
34711000181,C06,47,113,수메디칼,00,NORMAL SERVICE.,,,,,,
34711000213,C06,47,113,주식회사 케어스토어,00,NORMAL SERVICE.,,,,,,
14713000104,G31,47,130,공영노인전문요양시설 사랑원,00,NORMAL SERVICE.,1,14713000104,신체기능프로그램,5,강당,12
14713000370,G31,47,130,네스트빌요양원,00,NORMAL SERVICE.,1,14713000370,요리활동,7,각층 프로그램실,7
14719000249,G31,47,190,노인요양시설 효구미실버힐,00,NORMAL SERVICE.,1,14719000249,"특별프로그램 / 외식체험, 까페체험 등",3,효구미실버힐 생활실,64
14721000003,G31,47,210,소망의집,00,NORMAL SERVICE.,1,14721000003,인지자극활동,1,치매전담프로그램실,15
14725000094,G31,47,250,상주연세실버타운,00,NORMAL SERVICE.,1,14725000094,가족참여 프로그램,6,치매전담실 가형 1실 공동거실,12
14713000104,G32,47,130,공영노인전문요양시설 사랑원,00,NORMAL SERVICE.,1,14713000104,신체기능프로그램,5,강당,12
14713000370,G32,47,130,네스트빌요양원,00,NORMAL SERVICE.,1,14713000370,요리활동,7,각층 프로그램실,7
14729000004,G32,47,290,보현요양원,00,NORMAL SERVICE.,1,14729000004,힘뇌체조,5,치매전담실 가형 2실 공동거실,12
14792000001,G32,47,920,봉화요양원,00,NORMAL SERVICE.,1,14792000001,"여가프로그램(풍선배구, 옛노래듣기 외)",9,프로그램실,12
14792000001,G33,47,920,봉화요양원,00,NORMAL SERVICE.,1,14792000001,"여가프로그램(풍선배구, 옛노래듣기 외)",9,프로그램실,12
14792000001,G34,47,920,봉화요양원,00,NORMAL SERVICE.,1,14792000001,"여가프로그램(풍선배구, 옛노래듣기 외)",9,프로그램실,12
24711000679,H31,47,113,포항휴주간보호센터,00,NORMAL SERVICE.,1,24711000679,수공예활동 심화반,1,프로그램실,10
24713000311,H31,47,130,청우산대주간보호센터,00,NORMAL SERVICE.,1,24713000311,달력만들기,1,프로그램실,50
24715000275,H31,47,150,김천나눔사회적협동조합,00,NORMAL SERVICE.,1,24715000275,노래교실,1,생활실,30
24715000340,H31,47,150,우리노인복지센터,00,NORMAL SERVICE.,1,24715000340,신체인지놀이,3,우리노인복지센터 생활실,38
24717000003,H31,47,170,나천재가노인복지센터,00,NORMAL SERVICE.,1,24717000003,전통놀이,1,프로그램실,75
24713000311,H32,47,130,청우산대주간보호센터,00,NORMAL SERVICE.,1,24713000311,달력만들기,1,프로그램실,50
24717000003,H32,47,170,나천재가노인복지센터,00,NORMAL SERVICE.,1,24717000003,전통놀이,1,프로그램실,75
24719000197,H32,47,190,은가람재가노인복지센터,00,NORMAL SERVICE.,1,24719000197,세상뉴스전하기,3,프로그램실,5
24719000477,H32,47,190,효구미노인복지센터,00,NORMAL SERVICE.,60,24719000477,악기놀이,8,치매전담2실 생활실,25
24728000161,H32,47,280,미소치매전담형 주야간보호센터,00,NORMAL SERVICE.,1,24728000161,풍선 배구놀이,5,,24
34711000450,I31,47,113,우현노인복지센터,00,NORMAL SERVICE.,1,34711000450,"색칠하기,굴비엮기,직조짜기,칠교놀이,엽전꿰기",7,프로그램실,18
34713000239,I31,47,130,경주어르신종합돌봄센터,00,NORMAL SERVICE.,1,34713000239,숲 체험,7,"센터 프로그램실, 숲, 야외",15
34719000121,I31,47,190,주식회사참사랑,00,NORMAL SERVICE.,4,34719000121,야외나들이,3,야외,40
34790000024,I31,47,900,대경케어노인복지센터,00,NORMAL SERVICE.,1,34790000024,"(인지 활동) 집중력, 기억력 향상 프로그램",1,프로그램실,20
34719000121,I32,47,190,주식회사참사랑,00,NORMAL SERVICE.,4,34719000121,야외나들이,3,야외,40
14711000453,M31,47,113,우현요양원,00,NORMAL SERVICE.,1,14711000453,생신잔치,6,생활실,16
14711000453,M32,47,113,우현요양원,00,NORMAL SERVICE.,1,14711000453,생신잔치,6,생활실,16
14713000134,S41,47,130,경주따뜻한집,00,NORMAL SERVICE.,1,14713000134,영성 및 정서 지지,7,프로그램실,8
14721000195,S41,47,210,은빛둥지,00,NORMAL SERVICE.,3,14721000195,"기본프로그램,소그룹프로그램,집단프로그램",7,은빛둥지(생활실),9
14773000079,S41,47,730,금성산치매공동생활가정,00,NORMAL SERVICE.,1,14773000079,치매예방체조,3,공동거실,9
14811000005,A03,48,121,동진노인복지센터,00,NORMAL SERVICE.,1,14811000005,미술활동,1,프로그램실,54
14811000006,A03,48,121,주남요양센터,00,NORMAL SERVICE.,1,14811000006,치매프로그램,1,3층 프로그램실,31
14811000016,A03,48,121,창원성심요양원,00,NORMAL SERVICE.,1,14811000016,여가프로그램,3,프로그램실 등,77
14811000017,A03,48,121,창원성심노인전문요양원,00,NORMAL SERVICE.,1,14811000017,생신잔치,3,각층 홀,55
14811000133,A03,48,121,다솜창원노인복지센터,00,NORMAL SERVICE.,1,14811000133,"음악, 신체 프로그램",1,3층 프로그램실,26
14812000197,A03,48,121,소답노인요양센터,00,NORMAL SERVICE.,1,14812000197,특화프로그램,3,본 요양센터 뒤,37
14811000007,A04,48,121,수산자비선원 부설 자비마을,00,NORMAL SERVICE.,1,14811000007,"음악체조 및 각종 스트레칭, 생활체육",2,자비마을 입구 및 도계생활체육공원,4
14811000023,A04,48,121,아름다운요양원,00,NORMAL SERVICE.,3,14811000023,인지기능프로그램,1,거실,9
14812000153,A04,48,121,온새미로요양원,00,NORMAL SERVICE.,0,14812000153,물리치료,3,수급자 침실(필요시),7
